scene,active,interactable,hierarchy,center,size,persistentEvents,invalidEvents,callbacks,behaviours,openTargets
Ziyou1,False,True,"Canvas/RawImage 1/RawImage/RawImage 5/Button 3","(364.9, 348.2)","(24.5, 17.4)",2,0,"guanbi.Click;Kaiqi.Click","Image;Button;Kaiqi;guanbi;ButtonSound","Canvas/RawImage 1/RawImage/RawImage 7"
Ziyou1,False,True,"Canvas/RawImage 1/RawImage/RawImage 5/Button 4","(314.2, 271.5)","(52.2, 17.4)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Ziyou1,False,True,"Canvas/RawImage 1/RawImage/RawImage 5/Button 5","(499.7, 88.0)","(65.6, 32.6)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Ziyou1,False,True,"Canvas/RawImage 1/RawImage/RawImage 6/123","(321.3, 239.1)","(550.5, 468.4)",0,0,"","Image;Button;ButtonSound",""
Ziyou1,False,True,"Canvas/RawImage 1/RawImage/RawImage 6/Button 1","(455.5, 389.8)","(24.8, 29.1)",1,0,"Ziyou1.GoNextScene","Image;Button;ButtonSound;Ziyou1",""
Ziyou1,False,True,"Canvas/RawImage 1/RawImage/RawImage 6/Button 11","(331.4, 388.1)","(42.0, 35.1)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Ziyou1,False,True,"Canvas/RawImage 1/RawImage/RawImage 6/Button 15","(197.3, 388.2)","(63.7, 35.5)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Ziyou1,False,True,"Canvas/RawImage 1/RawImage/RawImage 6/Button 2","(308.4, 348.1)","(24.5, 17.6)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Ziyou1,False,True,"Canvas/RawImage 1/RawImage/RawImage 6/Button 22","(288.9, 388.1)","(41.5, 35.1)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Ziyou1,False,True,"Canvas/RawImage 1/RawImage/RawImage 6/Button 22","(154.2, 390.2)","(30.2, 40.1)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Ziyou1,False,True,"Canvas/RawImage 1/RawImage/RawImage 6/Button 24","(372.1, 388.1)","(42.2, 35.1)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Ziyou1,False,True,"Canvas/RawImage 1/RawImage/RawImage 6/Button 25","(475.6, 390.4)","(24.8, 29.3)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Ziyou1,False,True,"Canvas/RawImage 1/RawImage/RawImage 6/Button 26","(495.6, 390.4)","(24.9, 29.3)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Ziyou1,False,True,"Canvas/RawImage 1/RawImage/RawImage 6/Button 27","(128.5, 390.2)","(30.3, 40.1)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Ziyou1,False,True,"Canvas/RawImage 1/RawImage/RawImage 6/Button 28","(515.2, 390.4)","(25.2, 29.3)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Ziyou1,False,True,"Canvas/RawImage 1/RawImage/RawImage 6/Button 3","(364.9, 348.2)","(24.5, 17.4)",2,0,"guanbi.Click;Kaiqi.Click","Image;Button;guanbi;Kaiqi;ButtonSound","Canvas/RawImage 1/RawImage/RawImage 7"
Ziyou1,False,True,"Canvas/RawImage 1/RawImage/RawImage 6/Button 4","(314.2, 271.5)","(52.2, 17.4)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Ziyou1,False,True,"Canvas/RawImage 1/RawImage/RawImage 6/Button 5","(282.7, 348.2)","(24.4, 17.4)",2,0,"Kaiqi.Click;guanbi.Click","Image;Button;Kaiqi;guanbi;ButtonSound","Canvas/RawImage 1/RawImage/RawImage 5"
Ziyou1,False,True,"Canvas/RawImage 1/RawImage/RawImage 6/Button 6","(499.4, 88.3)","(65.7, 34.8)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Ziyou1,False,True,"Canvas/RawImage 1/RawImage/RawImage 7/124","(321.3, 239.1)","(550.5, 468.4)",0,0,"","Image;Button;ButtonSound",""
Ziyou1,False,True,"Canvas/RawImage 1/RawImage/RawImage 7/Button 1","(455.5, 389.9)","(24.5, 29.8)",1,0,"Ziyou1.GoNextScene","Image;Button;ButtonSound;Ziyou1",""
Ziyou1,False,True,"Canvas/RawImage 1/RawImage/RawImage 7/Button 10","(331.4, 388.1)","(42.0, 35.1)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Ziyou1,False,True,"Canvas/RawImage 1/RawImage/RawImage 7/Button 13","(372.1, 388.1)","(42.2, 35.1)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Ziyou1,False,True,"Canvas/RawImage 1/RawImage/RawImage 7/Button 15","(197.3, 388.2)","(63.7, 35.5)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Ziyou1,False,True,"Canvas/RawImage 1/RawImage/RawImage 7/Button 16","(154.2, 390.2)","(30.2, 40.1)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Ziyou1,False,True,"Canvas/RawImage 1/RawImage/RawImage 7/Button 17","(515.2, 390.4)","(25.2, 29.3)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Ziyou1,False,True,"Canvas/RawImage 1/RawImage/RawImage 7/Button 18","(475.6, 390.4)","(24.8, 29.3)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Ziyou1,False,True,"Canvas/RawImage 1/RawImage/RawImage 7/Button 19","(288.9, 388.1)","(41.5, 35.1)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Ziyou1,False,True,"Canvas/RawImage 1/RawImage/RawImage 7/Button 2","(308.4, 348.1)","(24.5, 17.6)",2,0,"guanbi.Click;Kaiqi.Click","Image;Button;Kaiqi;guanbi;ButtonSound","Canvas/RawImage 1/RawImage/RawImage 6"
Ziyou1,False,True,"Canvas/RawImage 1/RawImage/RawImage 7/Button 20","(495.6, 390.4)","(24.9, 29.3)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Ziyou1,False,True,"Canvas/RawImage 1/RawImage/RawImage 7/Button 21","(128.5, 390.2)","(30.3, 40.1)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Ziyou1,False,True,"Canvas/RawImage 1/RawImage/RawImage 7/Button 3","(364.9, 348.2)","(24.5, 17.4)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Ziyou1,False,True,"Canvas/RawImage 1/RawImage/RawImage 7/Button 4","(325.1, 271.5)","(25.5, 17.4)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Ziyou1,False,True,"Canvas/RawImage 1/RawImage/RawImage 7/Button 5","(282.7, 348.2)","(24.4, 17.4)",2,0,"Kaiqi.Click;guanbi.Click","Image;Button;Kaiqi;guanbi;ButtonSound","Canvas/RawImage 1/RawImage/RawImage 5"
Ziyou1,False,True,"Canvas/RawImage 1/RawImage/RawImage 7/Button 7","(499.4, 88.3)","(65.7, 34.8)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Ziyou1,False,True,"Canvas/RawImage 1/RawImage/RawImage 7/Button 8","(417.4, 271.5)","(25.4, 17.4)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Ziyou1,False,True,"Canvas/RawImage 1/RawImage/RawImage 9/128","(321.3, 239.1)","(550.5, 468.4)",0,0,"","Image;Button;ButtonSound",""
Ziyou1,False,True,"Canvas/RawImage 1/RawImage/RawImage 9/Button111","(321.3, 169.5)","(64.0, 30.0)",2,0,"DHM.OnButton;AudioSource.Play","Image;Button;DHM;ButtonSound",""
Ziyou1,False,True,"Canvas/RawImage 1/RawImage/RawImage 9/Button111","(175.9, 396.1)","(64.3, 34.7)",2,0,"Kaiqi.Click;guanbi.Click","Image;Button;ButtonSound;guanbi;Kaiqi","Canvas/RawImage 1/RawImage/RawImage 10"
Ziyou1,False,True,"Canvas/RawImage 1/RawImage/RawImage 9/Button113","(482.2, 398.5)","(28.4, 24.7)",2,0,"AudioSource.Play;guanbi.Click","Image;Button;ButtonSound;guanbi",""
Ziyou1,False,True,"Canvas/RawImage 1/RawImage/RawImage 9/RawImage/Button","(321.3, 239.1)","(550.5, 468.4)",0,0,"","Image;Button;ButtonSound",""
Ziyou1,False,True,"Canvas/RawImage 1/RawImage/RawImage 9/RawImage/Button 1","(285.2, 153.8)","(59.1, 24.9)",2,0,"OGD.GoNextScene;AudioSource.Play","Image;Button;ButtonSound;OGD",""
Ziyou1,False,True,"Canvas/RawImage 1/RawImage/RawImage 9/RawImage/Button 2","(364.3, 153.8)","(58.3, 24.9)",2,0,"AudioSource.Play;guanbi.Click","Image;Button;ButtonSound;guanbi",""
