## SteelFactory
spawn=(170.67, -65.34, 85.33)
rotation=(0.00000, 0.79270, 0.00000, 0.60961)
cameraForward=(0.97, 0.00, -0.26)
renderers=218
Nearby renderers:
- 1/rdmobj159 distance=0.00 center=(142.74, -53.63, 80.00) size=(80.00, 26.00, 48.00) materials=SteelStructure [asset=Assets/RecoveredMaps/SteelFactory/Material/Recovery/SteelStructure.mat; shader=Standard; texture=SteelStructurePattern@Assets/RecoveredMaps/SteelFactory/Material/Recovery/SteelStructurePattern.asset; color=RGBA(1.000, 1.000, 1.000, 1.000)]
- count=60 mu [asset=Assets/RecoveredMaps/IceFireMaze/Material/mu.mat; shader=Standard; texture=<none>; color=RGBA(0.329, 0.247, 0.247, 1.000)]
- count=56 Round grenade texture [asset=Assets/RecoveredMaps/IceFireMaze/Material/Round grenade texture.mat; shader=Standard; texture=Round grenade texture@Assets/RecoveredMaps/IceFireMaze/Texture2D/Round grenade texture.png; color=RGBA(1.000, 1.000, 1.000, 1.000)]
- count=50 SteelScrew [asset=Assets/RecoveredMaps/IceFireMaze/Material/SteelScrew.mat; shader=Standard; texture=<none>; color=RGBA(0.251, 0.267, 0.251, 1.000)]
- count=42 Light reflact [asset=Assets/RecoveredMaps/IceFireMaze/Material/Light reflact.mat; shader=Standard; texture=<none>; color=RGBA(0.502, 0.502, 0.502, 1.000)]
- count=36 White Gloss [asset=Assets/RecoveredMaps/IceFireMaze/Material/White Gloss.mat; shader=Standard; texture=<none>; color=RGBA(0.980, 0.980, 0.965, 1.000)]
- count=33 QQ图片20190713161613 [asset=Assets/RecoveredMaps/IceFireMaze/Material/QQ图片20190713161613.mat; shader=Mobile/Unlit (Supports Lightmap); texture=QQ图片20190713161613@Assets/RecoveredMaps/IceFireMaze/Texture2D/QQ图片20190713161613.png; color=n/a]
- count=32 IceMazeWall [asset=Assets/PlayableMaps/Generated/IceFireMaze/IceMazeWall.mat; shader=Standard; texture=IceMazeWallPattern@Assets/PlayableMaps/Generated/IceFireMaze/IceMazeWallPattern.asset; color=RGBA(1.000, 1.000, 1.000, 1.000)]
- count=30 Material #178 [asset=Assets/RecoveredMaps/IceFireMaze/Material/Material #178.mat; shader=Standard; texture=<none>; color=RGBA(0.843, 0.890, 0.890, 1.000)]
- count=30 Material #183 [asset=Assets/RecoveredMaps/IceFireMaze/Material/Material #183.mat; shader=Standard; texture=<none>; color=RGBA(0.424, 0.408, 0.384, 1.000)]
- count=30 AluminiumGrip [asset=Assets/RecoveredMaps/IceFireMaze/Material/AluminiumGrip.mat; shader=Standard; texture=<none>; color=RGBA(0.204, 0.204, 0.204, 1.000)]
- count=27 5etprb [asset=Assets/RecoveredMaps/IceFireMaze/Material/5etprb.mat; shader=Mobile/Unlit (Supports Lightmap); texture=5etprb@Assets/RecoveredMaps/IceFireMaze/Texture2D/5etprb.png; color=n/a]
- count=24 Ruber [asset=Assets/RecoveredMaps/IceFireMaze/Material/Ruber.mat; shader=Standard; texture=<none>; color=RGBA(0.106, 0.106, 0.122, 1.000)]
- count=24 vray_material [asset=Assets/RecoveredMaps/IceFireMaze/Material/vray_material.mat; shader=Standard; texture=<none>; color=RGBA(0.500, 0.500, 0.500, 1.000)]
- count=22 20191013111431 [asset=Assets/RecoveredMaps/IceFireMaze/Material/20191013111431.mat; shader=Mobile/Unlit (Supports Lightmap); texture=20191013111431@Assets/RecoveredMaps/IceFireMaze/Texture2D/20191013111431.png; color=n/a]
- count=20 DefaultSteel [asset=Assets/RecoveredMaps/IceFireMaze/Material/DefaultSteel.mat; shader=Standard; texture=<none>; color=RGBA(0.251, 0.267, 0.251, 1.000)]
- count=20 SteelGrip [asset=Assets/RecoveredMaps/IceFireMaze/Material/SteelGrip.mat; shader=Standard; texture=<none>; color=RGBA(0.251, 0.267, 0.251, 1.000)]
- count=20 20191013111558 [asset=Assets/RecoveredMaps/IceFireMaze/Material/20191013111558.mat; shader=Mobile/Unlit (Supports Lightmap); texture=20191013111558@Assets/RecoveredMaps/IceFireMaze/Texture2D/20191013111558.png; color=n/a]
- count=19 06 - Default [asset=Assets/RecoveredMaps/IceFireMaze/Material/06 - Default.mat; shader=Standard; texture=<none>; color=RGBA(0.129, 0.129, 0.129, 1.000)]
- count=18 04 [asset=Assets/RecoveredMaps/IceFireMaze/Material/04.mat; shader=Mobile/Unlit (Supports Lightmap); texture=04@Assets/RecoveredMaps/IceFireMaze/Texture2D/04.png; color=n/a]
- count=18 AM84_001 orange light [asset=Assets/RecoveredMaps/IceFireMaze/Material/AM84_001 orange light.mat; shader=Standard; texture=<none>; color=RGBA(0.875, 0.514, 0.122, 0.530)]
- count=15 Tex_0010_1.dds [asset=Assets/RecoveredMaps/IceFireMaze/Material/Tex_0010_1.dds.mat; shader=Standard; texture=<none>; color=RGBA(0.588, 0.588, 0.588, 1.000)]
- count=12 00 [asset=Assets/RecoveredMaps/IceFireMaze/Material/00.mat; shader=Mobile/Unlit (Supports Lightmap); texture=00@Assets/RecoveredMaps/IceFireMaze/Texture2D/00.png; color=n/a]
- count=11 3 (1) [asset=Assets/RecoveredMaps/IceFireMaze/Material/3 (1).mat; shader=Mobile/Unlit (Supports Lightmap); texture=3 (1)@Assets/RecoveredMaps/IceFireMaze/Texture2D/3 (1).png; color=n/a]
- count=11 10 - Default [asset=Assets/RecoveredMaps/IceFireMaze/Material/10 - Default.mat; shader=Standard; texture=<none>; color=RGBA(0.808, 0.824, 0.839, 1.000)]
- count=11 1570460406346 [asset=Assets/RecoveredMaps/IceFireMaze/Material/1570460406346.mat; shader=Mobile/Unlit (Supports Lightmap); texture=1570460406346@Assets/RecoveredMaps/IceFireMaze/Texture2D/1570460406346.png; color=n/a]
- count=10 Material #172 [asset=Assets/RecoveredMaps/IceFireMaze/Material/Material #172.mat; shader=Standard; texture=<none>; color=RGBA(0.475, 0.475, 0.475, 1.000)]
- count=10 M60-PEGA [asset=Assets/RecoveredMaps/IceFireMaze/Material/M60-PEGA.mat; shader=Standard; texture=<none>; color=RGBA(0.557, 0.561, 0.569, 1.000)]
- count=10 AluminiumPipe [asset=Assets/RecoveredMaps/IceFireMaze/Material/AluminiumPipe.mat; shader=Standard; texture=<none>; color=RGBA(0.588, 0.588, 0.588, 1.000)]
- count=10 Barrel [asset=Assets/RecoveredMaps/IceFireMaze/Material/Barrel.mat; shader=Standard; texture=<none>; color=RGBA(0.204, 0.204, 0.204, 1.000)]
- count=10 FlashHider [asset=Assets/RecoveredMaps/IceFireMaze/Material/FlashHider.mat; shader=Standard; texture=<none>; color=RGBA(0.204, 0.204, 0.204, 1.000)]
- count=10 FlashHiderMount [asset=Assets/RecoveredMaps/IceFireMaze/Material/FlashHiderMount.mat; shader=Standard; texture=<none>; color=RGBA(0.204, 0.204, 0.204, 1.000)]
- count=10 Decal_SightAdjuster [asset=Assets/RecoveredMaps/IceFireMaze/Material/Decal_SightAdjuster.mat; shader=Standard; texture=<none>; color=RGBA(0.204, 0.204, 0.204, 1.000)]
- count=10 Decal_SightAdjuster2 [asset=Assets/RecoveredMaps/IceFireMaze/Material/Decal_SightAdjuster2.mat; shader=Standard; texture=<none>; color=RGBA(0.204, 0.204, 0.204, 1.000)]
- count=10 IronSight [asset=Assets/RecoveredMaps/IceFireMaze/Material/IronSight.mat; shader=Standard; texture=<none>; color=RGBA(0.204, 0.204, 0.204, 1.000)]
- count=10 IronsightModule [asset=Assets/RecoveredMaps/IceFireMaze/Material/IronsightModule.mat; shader=Standard; texture=<none>; color=RGBA(0.392, 0.392, 0.373, 1.000)]
- count=10 IronsightModule2 [asset=Assets/RecoveredMaps/IceFireMaze/Material/IronsightModule2.mat; shader=Standard; texture=<none>; color=RGBA(0.392, 0.392, 0.373, 1.000)]
- count=10 ForwardIronsight [asset=Assets/RecoveredMaps/IceFireMaze/Material/ForwardIronsight.mat; shader=Standard; texture=<none>; color=RGBA(0.251, 0.267, 0.251, 1.000)]
- count=10 ReceiverRight [asset=Assets/RecoveredMaps/IceFireMaze/Material/ReceiverRight.mat; shader=Standard; texture=<none>; color=RGBA(0.204, 0.204, 0.204, 1.000)]
- count=10 ReceiverLeft [asset=Assets/RecoveredMaps/IceFireMaze/Material/ReceiverLeft.mat; shader=Standard; texture=<none>; color=RGBA(0.204, 0.204, 0.204, 1.000)]
- count=10 Grip [asset=Assets/RecoveredMaps/IceFireMaze/Material/Grip.mat; shader=Standard; texture=<none>; color=RGBA(0.063, 0.063, 0.063, 1.000)]
- count=10 StockPipe [asset=Assets/RecoveredMaps/IceFireMaze/Material/StockPipe.mat; shader=Standard; texture=<none>; color=RGBA(0.251, 0.267, 0.251, 1.000)]
- count=10 MagazineCap [asset=Assets/RecoveredMaps/IceFireMaze/Material/MagazineCap.mat; shader=Standard; texture=<none>; color=RGBA(0.251, 0.267, 0.251, 1.000)]
- count=10 ButtPlate [asset=Assets/RecoveredMaps/IceFireMaze/Material/ButtPlate.mat; shader=Standard; texture=<none>; color=RGBA(0.204, 0.204, 0.204, 1.000)]
- count=10 BoltCarrier [asset=Assets/RecoveredMaps/IceFireMaze/Material/BoltCarrier.mat; shader=Standard; texture=<none>; color=RGBA(0.392, 0.392, 0.373, 1.000)]
- count=10 Cache_e0968c6840f3b3a. [asset=Assets/RecoveredMaps/IceFireMaze/Material/Cache_e0968c6840f3b3a..mat; shader=Mobile/Unlit (Supports Lightmap); texture=Cache_e0968c6840f3b3a.@Assets/RecoveredMaps/IceFireMaze/Texture2D/Cache_e0968c6840f3b3a..png; color=n/a]
- count=10 qiang5 [asset=Assets/RecoveredMaps/IceFireMaze/Material/qiang5.mat; shader=Mobile/Unlit (Supports Lightmap); texture=qiang5@Assets/RecoveredMaps/IceFireMaze/Texture2D/qiang5.png; color=n/a]
- count=9 AM84_001 Glass_Back [asset=Assets/RecoveredMaps/IceFireMaze/Material/AM84_001 Glass_Back.mat; shader=Standard; texture=<none>; color=RGBA(0.588, 0.588, 0.588, 0.520)]
- count=9 Material #25 [asset=Assets/RecoveredMaps/IceFireMaze/Material/Material #25.mat; shader=Standard; texture=<none>; color=RGBA(0.000, 0.000, 0.000, 1.000)]
- count=9 desert_t [asset=Assets/RecoveredMaps/IceFireMaze/Material/desert_t.mat; shader=Mobile/Unlit (Supports Lightmap); texture=desert_t@Assets/RecoveredMaps/IceFireMaze/Texture2D/desert_t.png; color=n/a]
- count=8 5ewirt [asset=Assets/RecoveredMaps/IceFireMaze/Material/5ewirt.mat; shader=Mobile/Unlit (Supports Lightmap); texture=5ewirt@Assets/RecoveredMaps/IceFireMaze/Texture2D/5ewirt.png; color=n/a]
- count=8 IMG_3098 [asset=Assets/RecoveredMaps/IceFireMaze/Material/IMG_3098.mat; shader=Mobile/Unlit (Supports Lightmap); texture=IMG_3098@Assets/RecoveredMaps/IceFireMaze/Texture2D/IMG_3098.png; color=n/a]
- count=8 20191012221448 [asset=Assets/RecoveredMaps/IceFireMaze/Material/20191012221448.mat; shader=Mobile/Unlit (Supports Lightmap); texture=20191012221448@Assets/RecoveredMaps/IceFireMaze/Texture2D/20191012221448.png; color=n/a]
- count=8 Aut [asset=Assets/RecoveredMaps/IceFireMaze/Material/Aut.mat; shader=Standard; texture=Aut@Assets/RecoveredMaps/IceFireMaze/Texture2D/Aut.png; color=RGBA(1.000, 1.000, 1.000, 1.000)]
- count=7 5ewilb [asset=Assets/RecoveredMaps/IceFireMaze/Material/5ewilb.mat; shader=Mobile/Unlit (Supports Lightmap); texture=5ewilb@Assets/RecoveredMaps/IceFireMaze/Texture2D/5ewilb.png; color=n/a]
- count=7 Default-Material [asset=Resources/unity_builtin_extra; shader=Standard; texture=<none>; color=RGBA(1.000, 1.000, 1.000, 1.000)]
- count=7 20191013111402 [asset=Assets/RecoveredMaps/IceFireMaze/Material/20191013111402.mat; shader=Mobile/Unlit (Supports Lightmap); texture=20191013111402@Assets/RecoveredMaps/IceFireMaze/Texture2D/20191013111402.png; color=n/a]
- count=6 1(2) [asset=Assets/RecoveredMaps/IceFireMaze/Material/1(2).mat; shader=Mobile/Unlit (Supports Lightmap); texture=1(2)@Assets/RecoveredMaps/IceFireMaze/Texture2D/1(2).png; color=n/a]
- count=6 car_Black metal [asset=Assets/RecoveredMaps/IceFireMaze/Material/car_Black metal.mat; shader=Standard; texture=<none>; color=RGBA(0.086, 0.086, 0.086, 1.000)]
- count=6 Mashine gun [asset=Assets/RecoveredMaps/IceFireMaze/Material/Mashine gun.mat; shader=Standard; texture=<none>; color=RGBA(0.192, 0.192, 0.192, 1.000)]
- count=6 Material #6 [asset=Assets/RecoveredMaps/IceFireMaze/Material/Material #6.mat; shader=Standard; texture=<none>; color=RGBA(0.753, 0.753, 0.753, 1.000)]
- count=6 17 - Default [asset=Assets/RecoveredMaps/IceFireMaze/Material/17 - Default.mat; shader=Standard; texture=<none>; color=RGBA(0.435, 0.404, 0.290, 1.000)]
- count=6 20191013111458 [asset=Assets/RecoveredMaps/IceFireMaze/Material/20191013111458.mat; shader=Mobile/Unlit (Supports Lightmap); texture=20191013111458@Assets/RecoveredMaps/IceFireMaze/Texture2D/20191013111458.png; color=n/a]
- count=6 20110804113702812135 [asset=Assets/RecoveredMaps/IceFireMaze/Material/20110804113702812135.mat; shader=Mobile/Unlit (Supports Lightmap); texture=20110804113702812135@Assets/RecoveredMaps/IceFireMaze/Texture2D/20110804113702812135.png; color=n/a]
- count=6 Chrome [asset=Assets/RecoveredMaps/IceFireMaze/Material/Chrome.mat; shader=Standard; texture=<none>; color=RGBA(0.922, 0.922, 0.922, 1.000)]
- count=6 284e0a59981c18f8 [asset=Assets/RecoveredMaps/IceFireMaze/Material/284e0a59981c18f8.mat; shader=Mobile/Unlit (Supports Lightmap); texture=284e0a59981c18f8@Assets/RecoveredMaps/IceFireMaze/Texture2D/284e0a59981c18f8.png; color=n/a]
- count=5 sswa [asset=Assets/RecoveredMaps/IceFireMaze/Material/sswa.mat; shader=Standard; texture=<none>; color=RGBA(0.863, 0.898, 0.898, 1.000)]
- count=5 zi [asset=Assets/RecoveredMaps/IceFireMaze/Material/zi.mat; shader=Standard; texture=<none>; color=RGBA(0.710, 0.588, 0.631, 1.000)]
- count=5 1 (2) [asset=Assets/RecoveredMaps/IceFireMaze/Material/1 (2).mat; shader=Mobile/Unlit (Supports Lightmap); texture=1 (2)@Assets/RecoveredMaps/IceFireMaze/Texture2D/1 (2).png; color=n/a]
- count=5 下马石1 拷贝 [asset=Assets/RecoveredMaps/IceFireMaze/Material/下马石1 拷贝.mat; shader=Standard; texture=下马石1 拷贝@Assets/RecoveredMaps/IceFireMaze/Texture2D/下马石1 拷贝.png; color=RGBA(1.000, 1.000, 1.000, 1.000)]
- count=5 -ca484b5505888ea [asset=Assets/RecoveredMaps/IceFireMaze/Material/-ca484b5505888ea.mat; shader=Mobile/Unlit (Supports Lightmap); texture=-ca484b5505888ea@Assets/RecoveredMaps/IceFireMaze/Texture2D/-ca484b5505888ea.png; color=n/a]
- count=5 M60-CABE [asset=Assets/RecoveredMaps/IceFireMaze/Material/M60-CABE.mat; shader=Standard; texture=<none>; color=RGBA(0.431, 0.145, 0.000, 1.000)]
- count=5 M60-CABF [asset=Assets/RecoveredMaps/IceFireMaze/Material/M60-CABF.mat; shader=Standard; texture=<none>; color=RGBA(0.925, 0.953, 0.914, 1.000)]
- count=5 M60-TORN [asset=Assets/RecoveredMaps/IceFireMaze/Material/M60-TORN.mat; shader=Standard; texture=<none>; color=RGBA(0.890, 0.725, 0.376, 1.000)]
- count=5 M60-META [asset=Assets/RecoveredMaps/IceFireMaze/Material/M60-META.mat; shader=Standard; texture=<none>; color=RGBA(0.290, 0.302, 0.314, 1.000)]
- count=5 M60-NEGR [asset=Assets/RecoveredMaps/IceFireMaze/Material/M60-NEGR.mat; shader=Standard; texture=<none>; color=RGBA(0.067, 0.035, 0.027, 1.000)]
- count=5 20191013111543 [asset=Assets/RecoveredMaps/IceFireMaze/Material/20191013111543.mat; shader=Mobile/Unlit (Supports Lightmap); texture=20191013111543@Assets/RecoveredMaps/IceFireMaze/Texture2D/20191013111543.png; color=n/a]
- count=5 Cache_13394d72d56b3db0. [asset=Assets/RecoveredMaps/IceFireMaze/Material/Cache_13394d72d56b3db0..mat; shader=Mobile/Unlit (Supports Lightmap); texture=Cache_13394d72d56b3db0.@Assets/RecoveredMaps/IceFireMaze/Texture2D/Cache_13394d72d56b3db0..png; color=n/a]
- count=5 20191013111627 [asset=Assets/RecoveredMaps/IceFireMaze/Material/20191013111627.mat; shader=Mobile/Unlit (Supports Lightmap); texture=20191013111627@Assets/RecoveredMaps/IceFireMaze/Texture2D/20191013111627.png; color=n/a]
- count=5 02 [asset=Assets/RecoveredMaps/IceFireMaze/Material/02.mat; shader=Mobile/Unlit (Supports Lightmap); texture=02@Assets/RecoveredMaps/IceFireMaze/Texture2D/02.png; color=n/a]
- count=4 qiang3 [asset=Assets/RecoveredMaps/IceFireMaze/Material/qiang3.mat; shader=Mobile/Unlit (Supports Lightmap); texture=qiang3@Assets/RecoveredMaps/IceFireMaze/Texture2D/qiang3.png; color=n/a]
- count=4 qiang2 [asset=Assets/RecoveredMaps/IceFireMaze/Material/qiang2.mat; shader=Mobile/Unlit (Supports Lightmap); texture=qiang2@Assets/RecoveredMaps/IceFireMaze/Texture2D/qiang2.png; color=n/a]
- count=4 框架 [asset=Assets/RecoveredMaps/IceFireMaze/Material/框架.mat; shader=Mobile/Unlit (Supports Lightmap); texture=框架@Assets/RecoveredMaps/IceFireMaze/Texture2D/框架.png; color=n/a]
- count=4 AM84_001_Humvee_Glass [asset=Assets/RecoveredMaps/IceFireMaze/Material/AM84_001_Humvee_Glass.mat; shader=Standard; texture=AM84_001_Humvee_Glass@Assets/RecoveredMaps/IceFireMaze/Texture2D/AM84_001_Humvee_Glass.png; color=RGBA(1.000, 1.000, 1.000, 1.000)]
- count=4 Material #169 [asset=Assets/RecoveredMaps/IceFireMaze/Material/Material #169.mat; shader=Standard; texture=<none>; color=RGBA(0.863, 0.898, 0.898, 1.000)]
- count=4 ssw [asset=Assets/RecoveredMaps/IceFireMaze/Material/ssw.mat; shader=Standard; texture=<none>; color=RGBA(0.863, 0.898, 0.898, 1.000)]
- count=4 29945ba8edda427b [asset=Assets/RecoveredMaps/IceFireMaze/Material/29945ba8edda427b.mat; shader=Mobile/Unlit (Supports Lightmap); texture=29945ba8edda427b@Assets/RecoveredMaps/IceFireMaze/Texture2D/29945ba8edda427b.png; color=n/a]
- count=4 20191013111525 [asset=Assets/RecoveredMaps/IceFireMaze/Material/20191013111525.mat; shader=Mobile/Unlit (Supports Lightmap); texture=20191013111525@Assets/RecoveredMaps/IceFireMaze/Texture2D/20191013111525.png; color=n/a]
- count=4 Dark Gull Gray [asset=Assets/RecoveredMaps/IceFireMaze/Material/Dark Gull Gray.mat; shader=Standard; texture=<none>; color=RGBA(0.500, 0.500, 0.500, 1.000)]
- count=4 Glass [asset=Assets/RecoveredMaps/IceFireMaze/Material/Glass.mat; shader=Standard; texture=<none>; color=RGBA(0.392, 0.392, 0.392, 0.360)]
- count=4 5ewilt [asset=Assets/RecoveredMaps/IceFireMaze/Material/5ewilt.mat; shader=Mobile/Unlit (Supports Lightmap); texture=5ewilt@Assets/RecoveredMaps/IceFireMaze/Texture2D/5ewilt.png; color=n/a]
- count=3 1 (45) [asset=Assets/RecoveredMaps/IceFireMaze/Material/1 (45).mat; shader=Mobile/Unlit (Supports Lightmap); texture=1 (45)@Assets/RecoveredMaps/IceFireMaze/Texture2D/1 (45).png; color=n/a]
- count=3 Gun [asset=Assets/RecoveredMaps/IceFireMaze/Material/Gun.mat; shader=Standard; texture=<none>; color=RGBA(0.588, 0.588, 0.588, 1.000)]
- count=3 AM84_001_glas2 [asset=Assets/RecoveredMaps/IceFireMaze/Material/AM84_001_glas2.mat; shader=Standard; texture=<none>; color=RGBA(0.588, 0.682, 0.580, 0.600)]
- count=3 Interior [asset=Assets/RecoveredMaps/IceFireMaze/Material/Interior.mat; shader=Standard; texture=<none>; color=RGBA(0.588, 0.588, 0.588, 1.000)]
- count=3 bullet [asset=Assets/RecoveredMaps/IceFireMaze/Material/bullet.mat; shader=Standard; texture=<none>; color=RGBA(0.275, 0.275, 0.220, 1.000)]
- count=3 chair [asset=Assets/RecoveredMaps/IceFireMaze/Material/chair.mat; shader=Standard; texture=<none>; color=RGBA(0.125, 0.165, 0.122, 1.000)]
- count=3 AM84_001_Humvee_wheele [asset=Assets/RecoveredMaps/IceFireMaze/Material/AM84_001_Humvee_wheele.mat; shader=Standard; texture=<none>; color=RGBA(0.588, 0.588, 0.588, 1.000)]
- count=3 IMG_3102 [asset=Assets/RecoveredMaps/IceFireMaze/Material/IMG_3102.mat; shader=Mobile/Unlit (Supports Lightmap); texture=IMG_3102@Assets/RecoveredMaps/IceFireMaze/Texture2D/IMG_3102.png; color=n/a]
- count=3 augTEX [asset=Assets/RecoveredMaps/IceFireMaze/Material/augTEX.mat; shader=Mobile/Unlit (Supports Lightmap); texture=augTEX@Assets/RecoveredMaps/IceFireMaze/Texture2D/augTEX.png; color=n/a]
- count=3 Tex_0011_1.dds [asset=Assets/RecoveredMaps/IceFireMaze/Material/Tex_0011_1.dds.mat; shader=Standard; texture=<none>; color=RGBA(0.588, 0.588, 0.588, 1.000)]
- count=3 20110804113702812942 [asset=Assets/RecoveredMaps/IceFireMaze/Material/20110804113702812942.mat; shader=Mobile/Unlit (Supports Lightmap); texture=20110804113702812942@Assets/RecoveredMaps/IceFireMaze/Texture2D/20110804113702812942.png; color=n/a]
- count=3 pige [asset=Assets/RecoveredMaps/IceFireMaze/Material/pige.mat; shader=Standard; texture=<none>; color=RGBA(0.149, 0.118, 0.094, 1.000)]
- count=3 20110804113702812868 [asset=Assets/RecoveredMaps/IceFireMaze/Material/20110804113702812868.mat; shader=Mobile/Unlit (Supports Lightmap); texture=20110804113702812868@Assets/RecoveredMaps/IceFireMaze/Texture2D/20110804113702812868.png; color=n/a]
- count=3 20118122452825 [asset=Assets/RecoveredMaps/IceFireMaze/Material/20118122452825.mat; shader=Standard; texture=<none>; color=RGBA(1.000, 1.000, 1.000, 1.000)]
- count=3 Tire Black [asset=Assets/RecoveredMaps/IceFireMaze/Material/Tire Black.mat; shader=Standard; texture=<none>; color=RGBA(0.204, 0.204, 0.204, 1.000)]
- count=3 Metallic Gray [asset=Assets/RecoveredMaps/IceFireMaze/Material/Metallic Gray.mat; shader=Standard; texture=<none>; color=RGBA(0.722, 0.725, 0.725, 1.000)]
- count=2 -30b9d92a448e4d32 [asset=Assets/RecoveredMaps/IceFireMaze/Material/-30b9d92a448e4d32.mat; shader=Mobile/Unlit (Supports Lightmap); texture=-30b9d92a448e4d32@Assets/RecoveredMaps/IceFireMaze/Texture2D/-30b9d92a448e4d32.png; color=n/a]
- count=2 7993135EB1542C46B2A21D6F75E3067B [asset=Assets/RecoveredMaps/IceFireMaze/Material/7993135EB1542C46B2A21D6F75E3067B.mat; shader=Mobile/Unlit (Supports Lightmap); texture=7993135EB1542C46B2A21D6F75E3067B@Assets/RecoveredMaps/IceFireMaze/Texture2D/7993135EB1542C46B2A21D6F75E3067B.png; color=n/a]
- count=2 AM84_001_Humvee_Diff [asset=Assets/RecoveredMaps/IceFireMaze/Material/AM84_001_Humvee_Diff.mat; shader=Standard; texture=AM84_001_Humvee_Diff@Assets/RecoveredMaps/IceFireMaze/Texture2D/AM84_001_Humvee_Diff.png; color=RGBA(1.000, 1.000, 1.000, 1.000)]
- count=2 班妈线主路 [asset=Assets/RecoveredMaps/IceFireMaze/Material/班妈线主路.mat; shader=Mobile/Unlit (Supports Lightmap); texture=班妈线主路@Assets/RecoveredMaps/IceFireMaze/Texture2D/班妈线主路.png; color=n/a]
- count=2 20191012190415 [asset=Assets/RecoveredMaps/IceFireMaze/Material/20191012190415.mat; shader=Mobile/Unlit (Supports Lightmap); texture=20191012190415@Assets/RecoveredMaps/IceFireMaze/Texture2D/20191012190415.png; color=n/a]
- count=2 IMG_3093 [asset=Assets/RecoveredMaps/IceFireMaze/Material/IMG_3093.mat; shader=Mobile/Unlit (Supports Lightmap); texture=IMG_3093@Assets/RecoveredMaps/IceFireMaze/Texture2D/IMG_3093.png; color=n/a]
- count=2 bullet_texture [asset=Assets/RecoveredMaps/IceFireMaze/Material/bullet_texture.mat; shader=Mobile/Unlit (Supports Lightmap); texture=bullet_texture@Assets/RecoveredMaps/IceFireMaze/Texture2D/bullet_texture.png; color=n/a]
- count=2 1570838481413 [asset=Assets/RecoveredMaps/IceFireMaze/Material/1570838481413.mat; shader=Mobile/Unlit (Supports Lightmap); texture=1570838481413@Assets/RecoveredMaps/IceFireMaze/Texture2D/1570838481413.png; color=n/a]
- count=2 1570838586311 [asset=Assets/RecoveredMaps/IceFireMaze/Material/1570838586311.mat; shader=Mobile/Unlit (Supports Lightmap); texture=1570838586311@Assets/RecoveredMaps/IceFireMaze/Texture2D/1570838586311.png; color=n/a]
- count=2 -2353017058b0a9f5 [asset=Assets/RecoveredMaps/IceFireMaze/Material/-2353017058b0a9f5.mat; shader=Mobile/Unlit (Supports Lightmap); texture=-2353017058b0a9f5@Assets/RecoveredMaps/IceFireMaze/Texture2D/-2353017058b0a9f5.png; color=n/a]
- count=2 th(21) [asset=Assets/RecoveredMaps/IceFireMaze/Material/th(21).mat; shader=Mobile/Unlit (Supports Lightmap); texture=th(21)@Assets/RecoveredMaps/IceFireMaze/Texture2D/th(21).png; color=n/a]
- count=2 wd_x [asset=Assets/RecoveredMaps/IceFireMaze/Material/wd_x.mat; shader=Standard; texture=wd_x@Assets/RecoveredMaps/IceFireMaze/Texture2D/wd_x.png; color=RGBA(1.000, 1.000, 1.000, 1.000)]
- count=2 门2 [asset=Assets/RecoveredMaps/IceFireMaze/Material/门2.mat; shader=Mobile/Unlit (Supports Lightmap); texture=门2@Assets/RecoveredMaps/IceFireMaze/Texture2D/门2.png; color=n/a]
- count=2 3e4a954ac33fcedf [asset=Assets/RecoveredMaps/IceFireMaze/Material/3e4a954ac33fcedf.mat; shader=Mobile/Unlit (Supports Lightmap); texture=3e4a954ac33fcedf@Assets/RecoveredMaps/IceFireMaze/Texture2D/3e4a954ac33fcedf.png; color=n/a]
- count=2 014d1a554406360000019ae9246f4f.jpg@2o [asset=Assets/RecoveredMaps/IceFireMaze/Material/014d1a554406360000019ae9246f4f.jpg@2o.mat; shader=Mobile/Unlit (Supports Lightmap); texture=014d1a554406360000019ae9246f4f.jpg@2o@Assets/RecoveredMaps/IceFireMaze/Texture2D/014d1a554406360000019ae9246f4f.jpg@2o.png; color=n/a]
- count=2 青砖 [asset=Assets/RecoveredMaps/IceFireMaze/Material/青砖.mat; shader=Standard; texture=青砖@Assets/RecoveredMaps/IceFireMaze/Texture2D/青砖.png; color=RGBA(1.000, 1.000, 1.000, 1.000)]
- count=2 Default [asset=Assets/RecoveredMaps/IceFireMaze/Material/Default.mat; shader=Standard; texture=<none>; color=RGBA(0.902, 0.902, 0.902, 1.000)]
- count=2 BALL LEATHER [asset=Assets/RecoveredMaps/IceFireMaze/Material/BALL LEATHER.mat; shader=Standard; texture=<none>; color=RGBA(0.988, 0.988, 0.988, 1.000)]
- count=2 BLACK LEATHER [asset=Assets/RecoveredMaps/IceFireMaze/Material/BLACK LEATHER.mat; shader=Standard; texture=<none>; color=RGBA(0.047, 0.047, 0.047, 1.000)]
- count=2 met [asset=Assets/RecoveredMaps/IceFireMaze/Material/met.mat; shader=Standard; texture=<none>; color=RGBA(0.588, 0.588, 0.588, 1.000)]
- count=2 1911_1 [asset=Assets/RecoveredMaps/IceFireMaze/Material/1911_1.mat; shader=Mobile/Unlit (Supports Lightmap); texture=1911_1@Assets/RecoveredMaps/IceFireMaze/Texture2D/1911_1.png; color=n/a]
